import time: self [us] | cumulative | imported package
import time:       309 |        309 |   _io
import time:        49 |         49 |   marshal
import time:       281 |        281 |   posix
import time:       364 |       1000 | _frozen_importlib_external
import time:       537 |        537 |   time
import time:       140 |        676 | zipimport
import time:       353 |        353 |     _codecs
import time:       335 |        687 |   codecs
import time:      1136 |       1136 |   encodings.aliases
import time:      1879 |       3701 | encodings
import time:      1492 |       1492 | encodings.utf_8
import time:       958 |        958 | _signal
import time:        70 |         70 |     _abc
import time:       197 |        266 |   abc
import time:       213 |        479 | io
import time:        76 |         76 |       _stat
import time:        88 |        164 |     stat
import time:       908 |        908 |     _collections_abc
import time:        70 |         70 |       genericpath
import time:        90 |        160 |     posixpath
import time:       348 |       1579 |   os
import time:        90 |         90 |   _sitebuiltins
import time:       361 |        361 |   encodings.utf_8_sig
import time:       825 |        825 |   sitecustomize
import time:      1060 |       3913 | site
import time:       558 |        558 |       warnings
import time:       399 |        957 |     importlib
import time:       805 |        805 |           types
import time:       288 |        288 |             _operator
import time:       821 |       1108 |           operator
import time:       223 |        223 |               itertools
import time:       409 |        409 |               keyword
import time:       442 |        442 |               reprlib
import time:       113 |        113 |               _collections
import time:      3272 |       4456 |             collections
import time:        93 |         93 |             _functools
import time:      1205 |       5753 |           functools
import time:      2028 |       9692 |         enum
import time:       286 |        286 |           numpy._utils._convertions
import time:       269 |        554 |         numpy._utils
import time:       572 |      10817 |       numpy._globals
import time:       298 |        298 |       numpy._expired_attrs_2_0
import time:       177 |        177 |       numpy.version
import time:        54 |         54 |         numpy._distributor_init_local
import time:       210 |        263 |       numpy._distributor_init
import time:       367 |        367 |                 numpy._utils._inspect
import time:       613 |        613 |                     _datetime
import time:       543 |       1155 |                   datetime
import time:       667 |        667 |                   math
import time:       342 |        342 |                   numpy.exceptions
import time:      2052 |       2052 |                   numpy._core._exceptions
import time:       465 |        465 |                       _contextvars
import time:       302 |        766 |                     contextvars
import time:       243 |       1009 |                   numpy._core.printoptions
import time:       324 |        324 |                   numpy.dtypes
import time:     10171 |      15717 |                 numpy._core._multiarray_umath
import time:       438 |      16521 |               numpy._core.overrides
import time:       825 |      17345 |             numpy._core.multiarray
import time:       364 |        364 |             numpy._core.umath
import time:       745 |        745 |               numbers
import time:      1493 |       1493 |               numpy._core._string_helpers
import time:       421 |        421 |               numpy._core._type_aliases
import time:       296 |        296 |               numpy._core._dtype
import time:       744 |       3697 |             numpy._core.numerictypes
import time:       371 |        371 |                       copyreg
import time:      1249 |       1249 |                         _struct
import time:       390 |       1639 |                       struct
import time:        91 |         91 |                           _sre
import time:       433 |        433 |                             re._constants
import time:       635 |       1068 |                           re._parser
import time:       335 |        335 |                           re._casefix
import time:      1014 |       2507 |                         re._compiler
import time:      1648 |       4154 |                       re
import time:       494 |        494 |                       _compat_pickle
import time:       677 |        677 |                       _pickle
import time:      1286 |       8618 |                     pickle
import time:       944 |        944 |                     contextlib
import time:       345 |       9906 |                   numpy._core._methods
import time:      1229 |      11135 |                 numpy._core.fromnumeric
import time:       564 |      11698 |               numpy._core.shape_base
import time:       351 |        351 |               numpy._core._ufunc_config
import time:       856 |        856 |               numpy._core.arrayprint
import time:       216 |        216 |               numpy._core._asarray
import time:      2148 |      15268 |             numpy._core.numeric
import time:       575 |        575 |             numpy._core.records
import time:       326 |        326 |             numpy._core.memmap
import time:       479 |        479 |             numpy._core.function_base
import time:       238 |        238 |             numpy._core._machar
import time:       420 |        420 |             numpy._core.getlimits
import time:       369 |        369 |             numpy._core.einsumfunc
import time:      1919 |       1919 |             numpy._core._add_newdocs
import time:       538 |        538 |             numpy._core._add_newdocs_scalars
import time:      2087 |       2087 |             numpy._core._dtype_ctypes
import time:      1728 |       1728 |                 _ast
import time:      1513 |       3240 |               ast
import time:      1029 |       1029 |                 _ctypes
import time:       517 |        517 |                 ctypes._endian
import time:      1289 |       2834 |               ctypes
import time:      1027 |       7100 |             numpy._core._internal
import time:       231 |        231 |             numpy._pytesttester
import time:      1005 |      51953 |           numpy._core
import time:        44 |      51996 |         numpy._core._multiarray_umath
import time:       403 |      52399 |       numpy.__config__
import time:       175 |        175 |           numpy.lib._array_utils_impl
import time:       350 |        525 |         numpy.lib.array_utils
import time:       180 |        180 |         numpy.lib.introspect
import time:      2210 |       2210 |         numpy.lib.mixins
import time:       400 |        400 |               _weakrefset
import time:       671 |       1070 |             weakref
import time:       346 |        346 |             collections.abc
import time:      2577 |       2577 |                 textwrap
import time:       156 |        156 |                   _wmi
import time:       844 |       1000 |                 platform
import time:       375 |       3951 |               numpy.lib._utils_impl
import time:       350 |       4300 |             numpy.lib.format
import time:       337 |        337 |             numpy.lib._datasource
import time:       614 |        614 |             numpy.lib._iotools
import time:       821 |       7486 |           numpy.lib._npyio_impl
import time:       234 |       7719 |         numpy.lib.npyio
import time:       227 |        227 |               numpy.lib._ufunclike_impl
import time:       442 |        669 |             numpy.lib._type_check_impl
import time:       529 |       1198 |           numpy.lib._scimath_impl
import time:       238 |       1435 |         numpy.lib.scimath
import time:       324 |        324 |           numpy.lib._stride_tricks_impl
import time:       186 |        510 |         numpy.lib.stride_tricks
